col,desc_only,source
S_SECURE_REMOTE_ACCESS,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_SOFTWARE_PROVISIONING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_SOLUTION_INTEGRATION_SERVICE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_STORAGE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_AUDIO_CONFERENCING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_TOLL-FREE_VOICE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_VIDEOCONFERENCING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_WEB_CONFERENCING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MYKEY,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
M_MCL_num_Physical_Linux_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_Physical_Linux_and_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_Physical_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_TB_of_near_line_storage_in_Big_Data_Repository_HPC_service_offering_on_Enterprise_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_TB_of_near_line_storage_in_Big_Data_Repository_HPC_service_offering_on_Legacy_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_TB_of_on_line_storage_in_Big_Data_Repository_HPC_service_offering_on_Enterprise_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_TB_of_on_line_storage_in_Big_Data_Repository_HPC_service_offering_on_Legacy_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_Virtual_Linux_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_Virtual_Linux_and_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_Virtual_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_cores_of_Extreme_Computing_HPC_service_offering_on_Enterprise_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_cores_of_Extreme_Computing_HPC_service_offering_on_Legacy_infrastructure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_BB_devices,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_BBS_activated_ETI_BES_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Cell_Phones,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Centrex_Lines,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_I_Phones,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_IBM_Mainframe_Computers,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_LPARs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Mailboxes_Migrated_Current_Month_Accumulated_Total_to_date_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Mikes,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Mobile_Modems,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Other_mobile_devices_not_already_reported,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_PBXs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_PDAs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Physical_ESX_HyperV_and_Other,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Physical_Windows_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Smart_Phones,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Tablets,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Total_WAN_Circuits,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Total_WAN_Circuits_for_Stream_1,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_UNISYS_Mainframe_Computers,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Unsupported_Linux_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Unsupported_Linux_and_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Unsupported_Unix_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Unsupported_Windows_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_VoIP_Phones_Deployed,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_WAN_circuits_Transformed,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_WAN_circuits_Transformed_for_GCNet_Stream_1,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_Webex_Accounts,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_YES_Steady_State_Email_accounts,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_active_Enterprise_Connections,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_active_LIAS_Connections,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_contact_centre_agents_migrated_to_HCCS_Service,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_impressions,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_insertions,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_non_contracted_LIAS_connections,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_toll_free_minutes,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_num_of_virtual_Windows_OSIs,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_percent_of_time_Contact_Centre_Services_are_available,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_percent_of_time_Remote_Access_Services_are_available,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Available_Linux_MIPS,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Available_z_OS_MIPS,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Backup_On_Tape_TB_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Backup_Online_Storage_Provisioned_TB_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Cabling_Business_Requests,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Consultation_Plans,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Cumulative_number_of_Data_Centres_Closed,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_DB_instances,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Data_Centres_Planned_for_Closure,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Data_Only_Plan,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Days_of_SISD_Service_Provided,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_E3_SSC_Funded,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Fixed_Satellite_Sites,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_GCSI_num_of_accounts,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_GSCI_num_of_gateways,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_GSCI_num_of_servers,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Hardware_Provisioning_Transactions,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_MIPS_Unisys,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_MTRS_L_Exceptions,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_MTRS_R_Exceptions,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Middleware_Applications_Supported,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Mobile_Satellite_Devices,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Online_Configured_Usable_Storage_TB_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Online_Storage_Provisioned_TB_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Other,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Square_Footage,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Suspension,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Audio_Conference_Minutes,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_VC_End_Point_Minutes_per_month,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_VC_Hardware_End_Point_accumlated_Total_to_date_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_VC_Software_End_Point_accumlated_Total_to_date_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Total_number_of_wireless_Access_Points_cumulative_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Used_Linux_MIPS_Average_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Used_z_OS_MIPS_Average_,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_VPN_tunnels,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Voice_and_Text_Plan,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_Voice_Text_and_Data_Plan,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_myKey_Accounts,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_z_Linux_Contractual_MIPS,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_MCL_z_OS_Contractual_MIPS,MCL metric averaged over survey period. , CURATED.SRVC_PERF_METRICS
M_BITS_Assessment,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Agreement_Customer,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Agreement_SSC,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Design,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Implementation,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_In_Service,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Other,"Number of BRs in this cycle time phase on a particular day, summed over survey period. (BR days)", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Total_BR_days,BR days for all cycle time phases in this survey period., LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_Total_BR_days_in_progress,"BR days for all cycle time phases except ""Other"" or ""In Service"" in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_Assessment,"Proportion (BR days in this cycle time phase) / (BR days for all cycle time phases except ""Other"" or ""In Service"") in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_Agreement_Customer,"Proportion (BR days in this cycle time phase) / (BR days for all cycle time phases except ""Other"" or ""In Service"") in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_Agreement_SSC,"Proportion (BR days in this cycle time phase) / (BR days for all cycle time phases except ""Other"" or ""In Service"") in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_Design,"Proportion (BR days in this cycle time phase) / (BR days for all cycle time phases except ""Other"" or ""In Service"") in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_Implementation,"Proportion (BR days in this cycle time phase) / (BR days for all cycle time phases except ""Other"" or ""In Service"") in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_p_In_Service,"Proportion (BR days for ""In-Service"" cycle time phase) / (BR days for all cycle time phases) in this survey period.", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_median_Assessment,"Median number of days per 6 month survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_median_Agreement_Customer,"Median number of days per 6 month survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_median_Agreement_SSC,"Median number of days per 6 month survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_median_Design,"Median number of days per 6 month survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_median_Implementation,"Median number of days per 6 month survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avg_Assessment,"Average proportion over the survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avg_Agreement_Customer,"Average proportion over the survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avg_Agreement_SSC,"Average proportion over the survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avg_Design,"Average proportion over the survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avg_Implementation,"Average proportion over the survey period that an in-progress BR (excludes ""In Service"" and ""Other"") spends in this cycle time phase. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_medianSinceCreated_Assessment,"Median number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_medianSinceCreated_Agreement_Customer,"Median number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_medianSinceCreated_Agreement_SSC,"Median number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_medianSinceCreated_Design,"Median number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_medianSinceCreated_Implementation,"Median number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avgSinceCreated_Assessment,"Average number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avgSinceCreated_Agreement_Customer,"Average number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avgSinceCreated_Agreement_SSC,"Average number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avgSinceCreated_Design,"Average number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_BITS_avgSinceCreated_Implementation,"Average number of days in this cycle time phase (since the BR was created) for BRs in-progress (excluding ""In Service"" and ""Other"") within this survey period. ", LAKE.DEMAND_BR_BITS_ITEMS and CURATED.DEMAND_BITS_STATUS_HISTORY
M_ECD_avg_IMPACT,Average impact of ECD ticket over this survey period. , LAKE.DEMAND_ECD_TICKET
M_ECD_avg_URGENCY,Average urgency of ECD ticket over this survey period. , LAKE.DEMAND_ECD_TICKET
M_ECD_avg_PRIORITY,Average priority of ECD ticket over this survey period. , LAKE.DEMAND_ECD_TICKET
M_ECD_INCIDENT,Number of incidents in 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_PROBLEM,Number of problems in 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_SR,Number of Service Requests in 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_APPLM,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_APPR,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_ASSIGNA,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_AWAITCHG,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_AWAITCUS,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_AWAITVEN,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_COMP,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_DRAFT,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_FAIL,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_HISTEDIT,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_INPROG,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_NEW,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
M_ECD_NORESP,Number of tickets in this status in the 6 month survey period (adjusted for survey period length). , LAKE.DEMAND_ECD_TICKET
